"site_id","year","quarter","kelp","no3","waves"
243,1987,1,10775,3.53,2.605
244,1987,1,14069,3.55,2.7
245,1987,1,36474,3.61,2.157
246,1987,1,45104,3.6,2.053
247,1987,1,37708,3.53,2.343
248,1987,1,25521,3.5,2.834
249,1987,1,85121,3.52,2.839
250,1987,1,35619,3.42,2.601
251,1987,1,12022,3.38,3.266
252,1987,1,2128,3.32,3.854
253,1987,1,69320,3.33,3.589
254,1987,1,75095,3.32,3.375
255,1987,1,13305,3.32,2.99
256,1987,1,28152,3.13,1.767
257,1987,1,22287,3.37,2.308
258,1987,1,9336,3.07,2.53
259,1987,1,7417,3.31,2.409
260,1987,1,12219,3.06,3.262
261,1987,1,4753,3.04,3.17
262,1987,1,997,3.27,1.578
263,1987,1,488,3.03,1.536
264,1987,1,14257,3.03,1.698
265,1987,1,11754,3.23,1.751
266,1987,1,11669,2.99,1.868
267,1987,1,14465,2.92,1.779
268,1987,1,6028,2.91,1.761
269,1987,1,18898,2.86,1.732
270,1987,1,0,2.98,1.662
271,1987,1,352,2.97,1.54
272,1987,1,3865,2.73,2.055
273,1987,1,3496,2.67,2.225
274,1987,1,114475,2.65,2.238
275,1987,1,53331,2.69,2.025
276,1987,1,226,2.53,1.839
277,1987,1,3143,2.53,1.403
278,1987,1,46024,2.32,1.736
279,1987,1,175282,2.38,1.94
280,1987,1,25850,2.38,1.837
281,1987,1,12666,2.31,2.071
282,1987,1,31152,2.3,1.858
283,1987,1,212981,2.26,1.752
284,1987,1,147433,2.05,1.669
285,1987,1,6804,2.18,1.486
286,1987,1,2098,2.18,1.192
287,1987,1,30092,2.12,1.466
288,1987,1,11028,2.12,1.482
289,1987,1,947,2.08,1.673
290,1987,1,1361,2.02,1.663
291,1987,1,9799,2.02,1.694
292,1987,1,43268,1.99,1.665
293,1987,1,26552,2.04,1.589
294,1987,1,20265,2.08,0.843
295,1987,1,21326,1.99,1.504
296,1987,1,64259,1.97,1.995
297,1987,1,111295,1.97,1.816
298,1987,1,2105,2.06,2.176
299,1987,1,149351,1.82,1.774
300,1987,1,22568,1.8,1.714
301,1987,1,14075,1.74,1.714
302,1987,1,71218,1,1.842
303,1987,1,81342,1,2.156
304,1987,1,50853,1.01,2.219
305,1987,1,80950,1.1,2.355
306,1987,1,140660,1.1,2.167
307,1987,1,106133,1.04,1.775
308,1987,1,287312,1.02,2.158
309,1987,1,51723,1.02,1.902
310,1987,1,70287,1.02,1.928
311,1987,1,61434,1.02,1.712
312,1987,1,24763,1.06,1.77
313,1987,1,73653,1.15,1.771
314,1987,1,38662,1.17,1.749
315,1987,1,25948,1.08,1.82
316,1987,1,80524,1.08,1.181
317,1987,1,6564,1.11,1.127
318,1987,1,48572,1.12,1.047
319,1987,1,34574,1.12,1.132
320,1987,1,33895,1.12,1.112
321,1987,1,82366,1.13,1.322
322,1987,1,241145,0.66,2.67
323,1987,1,223290,0.63,2.377
324,1987,1,316477,0.62,2.762
325,1987,1,479493,0.7,3.027
326,1987,1,49955,0.59,2.237
327,1987,1,11629,0.59,2.635
328,1987,1,1542,0.53,2.85
329,1987,1,2415,0.52,1.853
330,1987,1,5412,0.46,2.405
331,1987,1,5167,0.4,1.684
332,1987,1,9044,0.42,1.137
333,1987,1,12474,0.42,1.589
334,1987,1,2014,0.44,1.546
335,1987,1,8185,0.52,1.804
336,1987,1,5862,0.56,2.003
337,1987,1,13508,0.56,2.288
338,1987,1,14734,0.56,2.284
339,1987,1,5645,0.55,2.299
340,1987,1,5057,0.54,2.225
341,1987,1,11751,0.61,2.207
342,1987,1,9317,0.66,2.074
343,1987,1,370,0.66,2.068
344,1987,1,3601,0.68,2.583
345,1987,1,0,0.43,1.308
346,1987,1,0,0.47,1.385
347,1987,1,0,0.48,1.733
348,1987,1,0,0.46,1.563
349,1987,1,6174,0.46,1.596
350,1987,1,43626,0.47,1.845
351,1987,1,454,0.35,2.257
352,1987,1,8867,0.29,2.243
353,1987,1,199,0.23,3.91
354,1987,1,27493,0.24,3.071
355,1987,1,27177,0.23,3.29
356,1987,1,31635,0.24,3.807
357,1987,1,6175,0.24,2.999
358,1987,1,110052,0.25,3.122
359,1987,1,105428,0.24,2.898
360,1987,1,8809,0.23,3.156
361,1987,1,15446,0.24,3.359
1,1987,2,0,9.92,2.372
2,1987,2,0,9.31,3.411
3,1987,2,11349,9.82,2.405
4,1987,2,13845,9.83,2.328
5,1987,2,0,9.24,2.308
6,1987,2,82677,8.93,2.27
7,1987,2,23881,8.8,2.006
8,1987,2,48241,8.8,2.071
9,1987,2,10610,8.6,2.033
10,1987,2,66395,8.33,1.777
11,1987,2,4159,8.25,1.671
12,1987,2,44477,8.25,1.928
13,1987,2,138813,8.07,1.725
14,1987,2,189668,8.03,2.033
15,1987,2,38097,7.49,1.495
16,1987,2,14834,7.22,1.759
17,1987,2,245479,7.22,1.493
18,1987,2,1671,6.8,1.428
19,1987,2,53890,6.83,1.32
20,1987,2,16629,6.96,1.368
21,1987,2,20705,6.79,1.435
22,1987,2,0,9.98,0.611
23,1987,2,16756,9.93,0.995
24,1987,2,75904,9.93,0.954
25,1987,2,65032.5,10.03,1.824
26,1987,2,168640,9.49,1.502
27,1987,2,49296,9.49,2.018
28,1987,2,0,9.49,2.704
29,1987,2,0,9.48,3.322
30,1987,2,0,9.37,3.007
31,1987,2,1362,9.5,3.649
32,1987,2,2888,9.43,3.306
33,1987,2,0,9.06,3.451
34,1987,2,1403,9.47,3.274
35,1987,2,7348,9.47,3.386
36,1987,2,376145,10.36,2.181
37,1987,2,160125,10.36,3.044
38,1987,2,325857,10.36,2.41
39,1987,2,166141,9.81,1.938
40,1987,2,252273,9.77,2.107
41,1987,2,420536,9.58,1.85
42,1987,2,282198,9.58,1.963
43,1987,2,425875,10.6,2.352
44,1987,2,4114,10.62,1.455
45,1987,2,27033,12.27,1.227
46,1987,2,74355,12.56,1.902
47,1987,2,0,11.22,3.521
48,1987,2,22597,11.22,3.128
49,1987,2,71034,10.86,2.119
50,1987,2,101005.5,12.56,2.218
51,1987,2,2394,12.56,3.23
52,1987,2,15814,10.59,3.964
53,1987,2,39099,10.59,3.394
54,1987,2,38980,12.15,2.781
55,1987,2,0,12.15,2.529
56,1987,2,1386,12.15,3.353
57,1987,2,1353,12.02,3.19
58,1987,2,3972,11.78,2.95
59,1987,2,2662,11.78,3.144
60,1987,2,25021,11.78,3.229
61,1987,2,0,11.62,3.555
62,1987,2,4100,11.41,3.023
63,1987,2,0,11.41,3.527
64,1987,2,107590,11.41,2.762
65,1987,2,307,7.84,3.298
66,1987,2,1813,13.2,3.316
67,1987,2,0,9.15,2.921
68,1987,2,0,9.15,3.198
69,1987,2,305,8.11,3.607
70,1987,2,24141,8.74,3.284
71,1987,2,68097,10.75,2.87
72,1987,2,8753,10.75,2.858
73,1987,2,46073,10.8,3.4
74,1987,2,0,10.5,3.546
75,1987,2,0,10.26,4.001
76,1987,2,26812,10.36,3.064
77,1987,2,214390,10.46,2.878
78,1987,2,99366,10.5,4.645
79,1987,2,577597,11.31,4.793
80,1987,2,610244,11.33,3.47
81,1987,2,119885,11.33,2.961
82,1987,2,79350,13.8,3.189
83,1987,2,47247,13.8,3.023
84,1987,2,75113,13.15,1.871
85,1987,2,251802,13.92,1.711
86,1987,2,136549,13.92,1.774
87,1987,2,572426,13.93,1.663
88,1987,2,142729,14.98,1.782
89,1987,2,152889,14.94,1.932
90,1987,2,26402,14.96,2.019
91,1987,2,487441,14.96,1.902
92,1987,2,223045,14.96,1.696
93,1987,2,140922,14.78,1.366
94,1987,2,97151,14.78,1.719
95,1987,2,40338,14.78,1.664
96,1987,2,6470,14.78,1.956
97,1987,2,291,14.77,2.373
98,1987,2,10646,13.67,2.166
99,1987,2,25335,13.64,1.806
100,1987,2,73763,13.64,1.935
101,1987,2,48068,13.59,2.507
102,1987,2,4224,13.67,2.267
103,1987,2,3413,13.48,2.445
104,1987,2,5332,11.99,2.889
105,1987,2,14732,11.99,2.518
106,1987,2,11195,12.78,2.815
107,1987,2,11094,12.78,2.231
108,1987,2,11110,12.78,2.501
109,1987,2,1169,12.78,3.171
110,1987,2,0,12.83,2.717
111,1987,2,36351,12.83,2.593
112,1987,2,12907,12.87,2.286
113,1987,2,64305,13.13,1.939
114,1987,2,0,12.97,2.279
115,1987,2,2032,12.66,2.803
116,1987,2,142573,12.3,3.138
117,1987,2,86677,12.29,3.06
118,1987,2,12849,12.5,2.822
119,1987,2,232160,13.43,2.954
120,1987,2,127834,13.43,2.969
121,1987,2,64207,13.74,2.94
122,1987,2,1095,13.61,1.877
123,1987,2,0,13.98,2.276
124,1987,2,54307,13.77,2.284
125,1987,2,0,13.87,1.759
126,1987,2,9917,14.05,2.429
127,1987,2,177565,14.05,2.215
128,1987,2,18799,14.62,2.168
129,1987,2,4007,14.45,2.324
130,1987,2,90785,14.69,2.421
131,1987,2,64408,14.72,2.691
132,1987,2,2713,12.84,2.933
133,1987,2,31140,12.48,3.226
134,1987,2,12847,12.44,2.691
135,1987,2,6328,11.93,3.242
136,1987,2,0,11.89,3.08
137,1987,2,0,11.94,3.231
138,1987,2,0,11.9,3.949
139,1987,2,2020,11.66,2.672
140,1987,2,33807,11.66,2.406
141,1987,2,96622,11.89,2.76
142,1987,2,107497,11.89,2.573
143,1987,2,2597,11.88,2.739
144,1987,2,15802,11.88,2.432
145,1987,2,32521,11.94,2.495
146,1987,2,149598,12.53,2.476
147,1987,2,204171,12.53,2.55
148,1987,2,192747,12.53,3.008
149,1987,2,716,12.53,2.681
150,1987,2,5929,12.53,3.093
151,1987,2,370,12.53,2.758
152,1987,2,246,13.38,2.638
153,1987,2,2881,13.55,2.58
154,1987,2,19017,13.4,2.441
155,1987,2,332,13.4,2.671
156,1987,2,2220,13.44,3.175
157,1987,2,438,13.25,2.81
158,1987,2,353,12.93,3.153
159,1987,2,630,11.98,2.635
160,1987,2,2457,11.38,2.429
161,1987,2,0,11.38,3.351
162,1987,2,483,11.42,3.501
163,1987,2,9346,11.39,1.974
164,1987,2,140615,11.46,2.25
165,1987,2,130917,11.46,2.66
166,1987,2,134542,11.46,1.902
167,1987,2,155809,10.94,2.287
168,1987,2,192182,10.87,2.05
169,1987,2,567197,11.49,2.159
170,1987,2,583857,11.44,1.897
171,1987,2,542377,11.44,2.977
172,1987,2,655388,11.64,2.231
173,1987,2,43066,10.23,2.3
174,1987,2,149600,9.9,1.901
175,1987,2,228408,10.32,1.625
176,1987,2,71925,10.19,1.853
177,1987,2,18213,10.21,1.912
178,1987,2,229560,10.21,1.877
179,1987,2,409166,9.72,2.125
180,1987,2,160550,9.4,1.906
181,1987,2,296897,9.4,2.194
182,1987,2,319297,9.4,2.072
183,1987,2,0,9.46,2.251
184,1987,2,2385,9.37,2.447
185,1987,2,39666,9.15,2.542
186,1987,2,175045,9.15,2.069
187,1987,2,3992,9.07,2.614
188,1987,2,76554,9.63,2.53
189,1987,2,478949,9.55,2.888
190,1987,2,234695,9.57,2.152
191,1987,2,341139,9.55,2.487
192,1987,2,237430,9.54,2.27
193,1987,2,73972,9.67,2.444
194,1987,2,370796,9.59,2.293
195,1987,2,569137,9.58,2.696
196,1987,2,285346,9.58,2.595
197,1987,2,458173,9.41,2.369
198,1987,2,717729,9.45,2.416
199,1987,2,318814,9.49,2.679
200,1987,2,332620,9.67,2.675
201,1987,2,723151,9.82,2.33
202,1987,2,452188,9.94,2.425
203,1987,2,270296,9.82,1.956
204,1987,2,768678,9.82,2.128
205,1987,2,403596,9.82,2.208
206,1987,2,256688,9.82,2.388
207,1987,2,241096,10.13,2.162
208,1987,2,1208196,10.04,2.022
209,1987,2,1049002,10.3,1.766
210,1987,2,24571,10.59,2.095
211,1987,2,0,10.06,2.321
212,1987,2,3237,10.06,3.128
213,1987,2,18340,10.16,3.434
214,1987,2,47349,10.22,2.29
215,1987,2,0,10.22,3.017
216,1987,2,612,9.15,2.294
217,1987,2,0,9.19,2.119
218,1987,2,229206,9.93,2.015
219,1987,2,190835.5,10.68,2.565
220,1987,2,110250.5,10.68,1.757
221,1987,2,922,10.68,1.757
222,1987,2,373693,10.79,1.463
223,1987,2,84776,10.79,1.85
224,1987,2,45635,10.79,1.75
225,1987,2,0,7.51,2.817
226,1987,2,1720,7.62,2.455
227,1987,2,0,7.02,1.702
228,1987,2,0,7.21,1.75
229,1987,2,1350,7.36,1.716
230,1987,2,0,7.36,1.471
231,1987,2,1830,7.4,1.709
232,1987,2,12261,6.93,1.766
233,1987,2,0,6.86,2.105
234,1987,2,6130,6.81,2.078
235,1987,2,66458,6.81,2.102
236,1987,2,705889,6.56,2.079
237,1987,2,56756,6.44,2.371
238,1987,2,601988,6.41,2.656
239,1987,2,0,6.32,3.312
240,1987,2,5065,6.32,2.382
241,1987,2,8275,6.05,2.388
242,1987,2,0,5.78,3.228
243,1987,2,47717,5.68,1.298
244,1987,2,83883,5.63,1.29
245,1987,2,175569,5.69,1.098
246,1987,2,114647,5.57,1.025
247,1987,2,103039,5.46,1.106
248,1987,2,73788,5.3,1.375
249,1987,2,92068,5.35,1.355
250,1987,2,47465,5.02,1.167
251,1987,2,32460,4.85,1.454
252,1987,2,3632,4.5,1.846
253,1987,2,138466,4.5,1.656
254,1987,2,103648,4.46,1.545
255,1987,2,3829,4.46,1.486
256,1987,2,22400,4.14,0.865
257,1987,2,38085,4.15,0.989
258,1987,2,16606,4.04,1.135
259,1987,2,3509,4.06,1.049
260,1987,2,1475,3.9,1.465
261,1987,2,0,3.71,1.686
262,1987,2,9375,2.64,0.825
263,1987,2,1555,3.02,0.799
264,1987,2,2730,3.02,0.888
265,1987,2,41134,3.03,0.912
266,1987,2,62655,3.35,0.976
267,1987,2,39098,3.05,0.951
268,1987,2,23297,2.95,0.94
269,1987,2,56422,2.94,0.904
270,1987,2,1095,2.88,0.876
271,1987,2,770,3.03,0.813
272,1987,2,14481,2.12,1.084
273,1987,2,14602,2.21,1.173
274,1987,2,497331,2.23,1.239
275,1987,2,255444,2.19,1.102
276,1987,2,3338,2.17,1.149
277,1987,2,15882,2.28,0.96
278,1987,2,227131,2.44,0.99
279,1987,2,426615,2.24,1.142
280,1987,2,86335,2.24,1.085
281,1987,2,36856,2.2,1.258
282,1987,2,65783,2.2,1.083
283,1987,2,470082,2.19,1.004
284,1987,2,364853,2.39,0.917
285,1987,2,18296,2.25,0.854
286,1987,2,10425,2.25,0.646
287,1987,2,66831,2.16,0.767
288,1987,2,31371,2.06,0.76
289,1987,2,4711,1.77,0.893
290,1987,2,4971,1.66,0.968
291,1987,2,7412,1.64,0.992
292,1987,2,80959,1.58,1.015
293,1987,2,41714,1.55,0.915
294,1987,2,47825,1.49,0.489
295,1987,2,31631,1.52,0.757
296,1987,2,72838,1.6,0.98
297,1987,2,200177,1.6,0.888
298,1987,2,0,1.57,1.12
299,1987,2,300439,1.34,1.034
300,1987,2,45785,1.29,1.024
301,1987,2,34512,1.29,1.011
302,1987,2,241714,0.44,1.073
303,1987,2,276040,0.44,1.167
304,1987,2,258143,0.33,1.286
305,1987,2,299453,0.33,1.352
306,1987,2,589263,0.33,1.226
307,1987,2,526093,0.33,0.996
308,1987,2,1209670,0.31,1.175
309,1987,2,131612,0.36,1.078
310,1987,2,299926,0.36,1.094
311,1987,2,171979,0.36,0.984
312,1987,2,67173,0.47,1.002
313,1987,2,233768,0.52,1.025
314,1987,2,195999,0.52,1.01
315,1987,2,178896,0.53,1.067
316,1987,2,240353,0.54,0.638
317,1987,2,33033,0.65,0.578
318,1987,2,153420,0.7,0.548
319,1987,2,96367,0.71,0.589
320,1987,2,93256,0.71,0.564
321,1987,2,174505,0.68,0.72
322,1987,2,218625,0.26,1.451
323,1987,2,146665,0.23,1.359
324,1987,2,301167,0.22,1.544
325,1987,2,660661,0.27,1.651
326,1987,2,156907,0.22,1.231
327,1987,2,54017,0.22,1.451
328,1987,2,5230,0.21,1.518
329,1987,2,36506,0.21,0.972
330,1987,2,59551,0.19,1.307
331,1987,2,68239,0.19,0.912
332,1987,2,52095,0.19,0.586
333,1987,2,80115,0.19,0.808
334,1987,2,20955,0.21,0.861
335,1987,2,204898,0.18,1.027
336,1987,2,98697,0.21,1.077
337,1987,2,133014,0.21,1.237
338,1987,2,160014,0.21,1.263
339,1987,2,77218,0.22,1.279
340,1987,2,24675,0.21,1.256
341,1987,2,195924,0.21,1.243
342,1987,2,247101,0.22,1.123
343,1987,2,88492,0.22,1.135
344,1987,2,349936,0.2,1.445
345,1987,2,6185,0.11,0.785
346,1987,2,16770,0.1,0.841
347,1987,2,16240,0.1,1.02
348,1987,2,6765,0.1,0.92
349,1987,2,42501,0.1,0.928
350,1987,2,47510,0.1,1.07
351,1987,2,6349,0.1,1.247
352,1987,2,26698,0.12,1.248
353,1987,2,31957,0.09,2.352
354,1987,2,237325,0.09,1.752
355,1987,2,255783,0.09,1.945
356,1987,2,93383,0.09,2.345
357,1987,2,67898,0.18,1.8
358,1987,2,842520,0.17,1.882
359,1987,2,713063,0.18,1.731
360,1987,2,516692,0.17,1.954
361,1987,2,589034,0.19,2.009
1,1987,3,1046,4.07,1.655
2,1987,3,15745,4.25,2.169
3,1987,3,140922,4.12,1.667
4,1987,3,66207,4.15,1.603
5,1987,3,29764,4.47,1.595
6,1987,3,772161,4.65,1.544
7,1987,3,322384,4.62,1.306
8,1987,3,418975,4.59,1.352
9,1987,3,85432,4.55,1.282
10,1987,3,205519,4.6,1.173
11,1987,3,79883,4.56,1.021
12,1987,3,71330,4.53,1.148
13,1987,3,116655,4.87,1.059
14,1987,3,323049,4.78,1.203
15,1987,3,266217,4.7,0.879
16,1987,3,66812,4.61,1.095
17,1987,3,422462,4.61,0.954
18,1987,3,109505,4.68,0.861
19,1987,3,156525,4.7,0.809
20,1987,3,77105,4.2,0.815
21,1987,3,72904,4.27,0.832
22,1987,3,13933,4.83,0.612
23,1987,3,35498,4.57,0.96
24,1987,3,97004,4.57,0.908
25,1987,3,135931,4.57,1.54
26,1987,3,186796,4.84,1.349
27,1987,3,699758,4.84,1.823
28,1987,3,594600,4.97,2.369
29,1987,3,297930,4.69,2.757
30,1987,3,309412,4.67,2.294
31,1987,3,1067699,4.82,2.846
32,1987,3,112834,4.83,2.888
33,1987,3,325587,4.7,2.929
34,1987,3,694978,4.74,2.765
35,1987,3,1332411,4.74,2.338
36,1987,3,1881431,5.99,1.509
37,1987,3,1586858,5.99,2.161
38,1987,3,1647440,5.99,1.687
39,1987,3,1288755,6.34,1.074
40,1987,3,782498,7.13,1.098
41,1987,3,1134388,7.3,1.513
42,1987,3,1825209,7.3,1.435
43,1987,3,1545738,7.3,1.862
44,1987,3,103317,7.3,1.278
45,1987,3,126551,7.89,1.207
46,1987,3,346312,7.87,1.767
47,1987,3,229740,6.82,2.595
48,1987,3,1535733,6.82,2.475
49,1987,3,1212414,6.77,1.575
50,1987,3,740823,7.86,1.524
51,1987,3,454107,7.86,2.629
52,1987,3,459501,7.72,2.613
53,1987,3,540427,7.16,2.822
54,1987,3,797662,8.26,2.221
55,1987,3,1033001,8.09,1.751
56,1987,3,220603,8.09,2.57
57,1987,3,1012533,8.02,2.763
58,1987,3,777407,8.18,2.152
59,1987,3,1111806,8.18,2.447
60,1987,3,836685,8.18,2.571
61,1987,3,15309,8.07,2.706
